EntropyAverage,EntropyStd,EntropyMedian,EntropyMin,EntropyMax,VAverage,VStd,VMedian,VMin,VMax,reward,step
0.07406333,0.0067299493,0.07406333,0.06733338,0.08079328,98.815796,49.98938,98.815796,48.826412,148.80518,20.0,1633
0.09257878,0.043736454,0.100994796,0.03365846,0.13466708,333.57608,288.31903,354.313,3.908268,621.77,53.0,1643
0.057230685,0.04376599,0.057230685,0.013464699,0.10099667,139.27855,138.99767,139.27855,0.28087968,278.2762,15.0,1647
0.07743105,0.0437644,0.07743105,0.033666648,0.12119545,233.33055,229.63652,233.33055,3.6940327,462.96707,21.0,1656
0.080796905,0.0,0.080796905,0.080796905,0.080796905,90.4751,0.0,90.4751,90.4751,90.4751,10.0,1661
0.063966565,0.043766625,0.063966565,0.020199938,0.10773319,117.01185,113.58878,117.01185,3.4230595,230.60063,17.0,1668
0.037031278,0.010097524,0.037031278,0.026933752,0.0471288,10.496945,3.395999,10.496945,7.1009464,13.892944,9.0,1676
0.05386244,0.033664797,0.05386244,0.020197647,0.08752724,93.39846,92.909386,93.39846,0.48907328,186.30785,14.0,1682
0.080797635,0.0,0.080797635,0.080797635,0.080797635,90.328,0.0,90.328,90.328,90.328,10.0,1686
0.090900056,0.044791255,0.097632945,0.033666674,0.13466766,323.704,300.31836,327.3199,13.261038,626.9152,52.0,1698
0.07069655,0.0033664964,0.07069655,0.06733005,0.07406304,83.02159,34.266895,83.02159,48.7547,117.28849,19.0,1705
0.053864945,0.013468903,0.053864945,0.040396042,0.06733385,48.287422,40.56508,48.287422,7.7223396,88.8525,14.0,1716
0.080797374,0.0,0.080797374,0.080797374,0.080797374,90.07766,0.0,90.07766,90.07766,90.07766,10.0,1721
0.075749665,0.058964714,0.07743175,0.013466869,0.13466829,312.54846,311.68073,311.845,0.5189966,625.9848,43.0,1745
0.11446052,0.016498007,0.11446468,0.09425259,0.13466428,391.29825,196.39197,397.93515,147.51842,628.44116,49.0,1763
0.06733273,0.026932597,0.06733273,0.040400133,0.09426533,86.007614,64.3954,86.007614,21.612207,150.40302,18.0,1773
0.050494723,0.010096803,0.050494723,0.04039792,0.060591526,27.593801,5.9752293,27.593801,21.618572,33.56903,13.0,1782
0.08080071,0.0067331754,0.08080071,0.07406754,0.08753389,117.51037,0.61392975,117.51037,116.89644,118.1243,22.0,1790
